districtid,timeid,cases
AP_Y.S.R. Kadapa,4,14151
AP_Y.S.R. Kadapa,5,20358
AP_Y.S.R. Kadapa,6,12367
AP_Y.S.R. Kadapa,7,4710
AP_Y.S.R. Kadapa,8,1085
AP_Y.S.R. Kadapa,9,490
AP_Y.S.R. Kadapa,10,173
AP_Y.S.R. Kadapa,11,151
AP_Y.S.R. Kadapa,12,2104
AP_Y.S.R. Kadapa,13,22122
AP_Y.S.R. Kadapa,14,22334
AP_Y.S.R. Kadapa,15,6561
AP_Y.S.R. Kadapa,16,3018
AR_Lohit,1,1
AR_Lohit,2,1
AR_Lohit,3,2
AR_Lohit,4,112
AR_Lohit,5,75
AR_Lohit,6,179
AR_Lohit,7,184
AR_Lohit,8,8
AR_Lohit,9,10
AR_Lohit,10,1
AR_Lohit,11,0
AR_Lohit,12,2
AR_Lohit,13,206
AR_Lohit,14,600
AR_Lohit,15,657
AR_Lohit,16,650
AS_Unknown,1,87
AS_Unknown,2,4032
AS_Unknown,3,14548
AS_Unknown,4,55835
AS_Unknown,5,69664
AS_Unknown,6,54047
AS_Unknown,7,11962
AS_Unknown,8,4628
AS_Unknown,9,1959
AS_Unknown,10,531
AS_Unknown,11,504
AS_Unknown,12,4071
AS_Unknown,13,97764
AS_Unknown,14,143543
AS_Unknown,15,77278
AS_Unknown,16,39035
BR_Arwal,1,12
BR_Arwal,2,58
BR_Arwal,3,123
BR_Arwal,4,784
BR_Arwal,5,559
BR_Arwal,6,420
BR_Arwal,7,171
BR_Arwal,8,83
BR_Arwal,9,159
BR_Arwal,10,59
BR_Arwal,11,1
BR_Arwal,12,360
BR_Arwal,13,3825
BR_Arwal,14,667
BR_Arwal,15,69
BR_Arwal,16,29
BR_Aurangabad,1,18
BR_Aurangabad,2,111
BR_Aurangabad,3,209
BR_Aurangabad,4,1417
BR_Aurangabad,5,1560
BR_Aurangabad,6,659
BR_Aurangabad,7,613
BR_Aurangabad,8,350
BR_Aurangabad,9,444
BR_Aurangabad,10,146
BR_Aurangabad,11,51
BR_Aurangabad,12,537
BR_Aurangabad,13,12247
BR_Aurangabad,14,1540
BR_Aurangabad,15,61
BR_Aurangabad,16,47
BR_Banka,1,15
BR_Banka,2,157
BR_Banka,3,139
BR_Banka,4,965
BR_Banka,5,725
BR_Banka,6,841
BR_Banka,7,284
BR_Banka,8,223
BR_Banka,9,175
BR_Banka,10,71
BR_Banka,11,18
BR_Banka,12,205
BR_Banka,13,2879
BR_Banka,14,629
BR_Banka,15,39
BR_Banka,16,14
BR_Begusarai,1,47
BR_Begusarai,2,252
BR_Begusarai,3,628
BR_Begusarai,4,2889
BR_Begusarai,5,2051
BR_Begusarai,6,749
BR_Begusarai,7,464
BR_Begusarai,8,366
BR_Begusarai,9,520
BR_Begusarai,10,152
BR_Begusarai,11,48
BR_Begusarai,12,756
BR_Begusarai,13,14299
BR_Begusarai,14,3705
BR_Begusarai,15,182
BR_Begusarai,16,75
BR_Bhagalpur,1,33
BR_Bhagalpur,2,293
BR_Bhagalpur,3,808
BR_Bhagalpur,4,2786
BR_Bhagalpur,5,2708
BR_Bhagalpur,6,1258
BR_Bhagalpur,7,800
BR_Bhagalpur,8,496
BR_Bhagalpur,9,291
BR_Bhagalpur,10,76
BR_Bhagalpur,11,41
BR_Bhagalpur,12,2042
BR_Bhagalpur,13,11955
BR_Bhagalpur,14,2050
BR_Bhagalpur,15,128
BR_Bhagalpur,16,62
BR_Bhojpur,1,29
BR_Bhojpur,2,116
BR_Bhojpur,3,273
BR_Bhojpur,4,2294
BR_Bhojpur,5,1164
BR_Bhojpur,6,469
BR_Bhojpur,7,365
BR_Bhojpur,8,134
BR_Bhojpur,9,217
BR_Bhojpur,10,47
BR_Bhojpur,11,18
BR_Bhojpur,12,591
BR_Bhojpur,13,3752
BR_Bhojpur,14,599
BR_Bhojpur,15,62
BR_Bhojpur,16,44
BR_Buxar,1,59
BR_Buxar,2,99
BR_Buxar,3,177
BR_Buxar,4,1960
BR_Buxar,5,908
BR_Buxar,6,391
BR_Buxar,7,172
BR_Buxar,8,141
BR_Buxar,9,102
BR_Buxar,10,16
BR_Buxar,11,2
BR_Buxar,12,437
BR_Buxar,13,4090
