District_Key,State,District,mvacc,fvacc
CT_Bilaspur,Chhattisgarh,Bilaspur,388572.0,379882.0
CT_Dakshin Bastar Dantewada,Chhattisgarh,Dakshin Bastar Dantewada,75189.0,71704.0
CT_Dhamtari,Chhattisgarh,Dhamtari,190828.0,211015.0
CT_Durg,Chhattisgarh,Durg,440442.0,430264.0
CT_Gariaband,Chhattisgarh,Gariaband,99499.0,107007.0
CT_Gaurela Pendra Marwahi,Chhattisgarh,Gaurela Pendra Marwahi,65357.0,68115.0
CT_Janjgir Champa,Chhattisgarh,Janjgir Champa,291745.0,289669.0
CT_Jashpur,Chhattisgarh,Jashpur,156054.0,170738.0
CT_Kabeerdham,Chhattisgarh,Kabeerdham,161791.0,157497.0
CT_Kondagaon,Chhattisgarh,Kondagaon,100419.0,102487.0
