districtid,timeid,dose1,dose2
AS_Dhemaji,2,7228.0,1747.0
AS_Dhemaji,3,21783.0,3812.0
AS_Dhemaji,4,33670.0,11748.0
AS_Dhemaji,5,26258.0,4025.0
AS_Dhemaji,6,89418.0,7434.0
AS_Dhemaji,7,97774.0,27627.0
AS_Dhubri,1,3167.0,103.0
AS_Dhubri,2,16506.0,2669.0
AS_Dhubri,3,33845.0,7166.0
AS_Dhubri,4,30011.0,18516.0
AS_Dhubri,5,21365.0,2160.0
AS_Dhubri,6,100033.0,15477.0
AS_Dhubri,7,123710.0,27685.0
AS_Dibrugarh,1,8331.0,91.0
AS_Dibrugarh,2,16083.0,6741.0
AS_Dibrugarh,3,43312.0,11433.0
AS_Dibrugarh,4,72686.0,17110.0
AS_Dibrugarh,5,90161.0,6247.0
AS_Dibrugarh,6,145220.0,37228.0
AS_Dibrugarh,7,180674.0,59666.0
AS_Dima Hasao,1,1056.0,75.0
AS_Dima Hasao,2,5280.0,744.0
AS_Dima Hasao,3,6284.0,2623.0
AS_Dima Hasao,4,11439.0,4268.0
AS_Dima Hasao,5,7568.0,2739.0
AS_Dima Hasao,6,36667.0,4432.0
AS_Dima Hasao,7,13632.0,6744.0
AS_Goalpara,1,4879.0,105.0
AS_Goalpara,2,9473.0,2922.0
AS_Goalpara,3,19879.0,4839.0
AS_Goalpara,4,29111.0,11577.0
AS_Goalpara,5,22407.0,2812.0
AS_Goalpara,6,82561.0,7996.0
AS_Goalpara,7,125075.0,23299.0
AS_Golaghat,1,3905.0,80.0
AS_Golaghat,2,11978.0,2620.0
AS_Golaghat,3,25704.0,6537.0
AS_Golaghat,4,40997.0,15634.0
AS_Golaghat,5,32401.0,2246.0
AS_Golaghat,6,149831.0,12219.0
AS_Golaghat,7,224441.0,49408.0
AS_Hailakandi,1,2869.0,46.0
AS_Hailakandi,2,6567.0,1970.0
AS_Hailakandi,3,15714.0,3385.0
AS_Hailakandi,4,24327.0,9028.0
AS_Hailakandi,5,27491.0,3562.0
AS_Hailakandi,6,69092.0,8895.0
AS_Hailakandi,7,89509.0,17045.0
AS_Hojai,1,2166.0,109.0
AS_Hojai,2,11408.0,1310.0
AS_Hojai,3,28759.0,3658.0
AS_Hojai,4,27964.0,14218.0
AS_Hojai,5,31368.0,13090.0
AS_Hojai,6,90062.0,16577.0
AS_Hojai,7,115206.0,19916.0
AS_Jorhat,1,3982.0,38.0
AS_Jorhat,2,14296.0,2975.0
AS_Jorhat,3,32468.0,7072.0
AS_Jorhat,4,49786.0,16611.0
AS_Jorhat,5,35586.0,5349.0
AS_Jorhat,6,119537.0,24545.0
AS_Jorhat,7,247376.0,43527.0
AS_Kamrup,1,5846.0,75.0
AS_Kamrup,2,15068.0,4198.0
AS_Kamrup,3,54751.0,7864.0
AS_Kamrup,4,94343.0,30781.0
AS_Kamrup,5,86033.0,8407.0
AS_Kamrup,6,89211.0,20774.0
AS_Kamrup,7,262708.0,72133.0
AS_Kamrup Metropolitan,1,12379.0,61.0
AS_Kamrup Metropolitan,2,32634.0,9304.0
AS_Kamrup Metropolitan,3,70592.0,17710.0
AS_Kamrup Metropolitan,4,183143.0,49807.0
AS_Kamrup Metropolitan,5,266274.0,26330.0
AS_Kamrup Metropolitan,6,264971.0,60368.0
AS_Kamrup Metropolitan,7,191915.0,148784.0
AS_Karbi Anglong,1,2255.0,0.0
AS_Karbi Anglong,2,8382.0,1422.0
AS_Karbi Anglong,3,15042.0,4143.0
AS_Karbi Anglong,4,19463.0,7584.0
AS_Karbi Anglong,5,14403.0,2559.0
AS_Karbi Anglong,6,38988.0,8934.0
AS_Karbi Anglong,7,51430.0,12608.0
AS_Karimganj,1,2628.0,46.0
AS_Karimganj,2,11959.0,1376.0
AS_Karimganj,3,22578.0,3676.0
AS_Karimganj,4,29389.0,14686.0
AS_Karimganj,5,31375.0,4968.0
AS_Karimganj,6,83443.0,10824.0
AS_Karimganj,7,102071.0,24923.0
AS_Kokrajhar,1,3393.0,36.0
AS_Kokrajhar,2,11357.0,2407.0
AS_Kokrajhar,3,12889.0,8220.0
AS_Kokrajhar,4,28414.0,7905.0
AS_Kokrajhar,5,24138.0,1420.0
AS_Kokrajhar,6,62287.0,7338.0
AS_Kokrajhar,7,118741.0,23804.0
AS_Lakhimpur,1,4606.0,0.0
AS_Lakhimpur,2,9764.0,2309.0
AS_Lakhimpur,3,23129.0,6037.0
AS_Lakhimpur,4,43436.0,17755.0
AS_Lakhimpur,5,31150.0,4096.0
AS_Lakhimpur,6,124790.0,10536.0
AS_Lakhimpur,7,200789.0,31154.0
AS_Majuli,1,1125.0,76.0
AS_Majuli,2,2472.0,791.0
AS_Majuli,3,10938.0,1582.0
AS_Majuli,4,13159.0,6563.0
AS_Majuli,5,12795.0,1395.0
AS_Majuli,6,32628.0,3721.0
AS_Majuli,7,29012.0,14244.0
AS_Morigaon,1,3533.0,68.0
AS_Morigaon,2,8678.0,1935.0
